WMO_index,lat,lng,region_id
29128,58.7041666667,81.48,24
31987,43.15,133.0166666667,82
23415,65.1166666667,57.1,8
23418,65.1261111111,57.135,8
35007,51.8666666667,50.3333333333,55
28224,57.9925,56.3355555556,15
28225,57.9583333333,56.1972222222,15
29348,57.0666666667,86.2166666667,24
32580,53.06,158.7897222222,74
32540,53.0833333333,158.5833333333,74
32583,52.8666666667,158.65,
30838,51.3166666667,108.8666666667,11
23324,66.4711111111,60.7544444444,8
25051,69.7041666667,170.255,78
32069,50.05,142.1666666667,
29363,57.6291666667,92.2722222222,10
23431,65.8413888889,65.9125,69
32027,52.2166666667,141.6333333333,
32076,50.4,143.7666666667,
31915,44.4,131.3833333333,82
31587,49.6166666667,128.65,38
30688,53.35,121.55,11
24856,61.4833333333,129.15,54
20046,80.6263888889,58.0588888889,27
28668,54.7666666667,66.0,4
28786,54.3561111111,71.7661111111,50
31917,44.0333333333,131.3166666667,82
23339,66.0352777778,68.6694444444,69
24322,66.7333333333,112.4333333333,54
32098,49.2166666667,143.1,53
31969,42.65,130.8,82
29735,54.3013888889,83.3138888889,49
23174,68.6666666667,86.25,10
31989,42.9,133.9,82
24918,60.05,108.0833333333,14
30975,50.3333333333,119.0666666667,11
29313,57.5625,79.4305555556,24
PTK,52.9700012207,158.75,74
31962,43.6167,132.2333,82
39601,55.35,78.3,49
39441,56.8333333333,53.45,60
39481,51.6833333333,55.0666666667,81
39661,54.55,55.8833333333,83
23758,62.15,77.3166666667,6
28710,54.0636111111,54.9277777778,83
25044,69.5,166.5833333333,
29923,53.0819444444,82.3383333333,1
36020,52.4855555556,80.1827777778,1
30650,53.2,112.7833333333,31
36034,51.5755555556,81.1994444444,1
31959,44.3666666667,135.85,
28552,56.0666666667,63.65,4
23929,60.3166666667,64.2166666667,6
23330,66.5319444444,66.6744444444,69
23947,60.0666666667,71.4833333333,6
28900,53.25,50.2166666667,20
28807,53.25,50.45,20
28334,57.35,58.2166666667,12
24652,63.9666666667,127.4666666667,54
21535,74.6666666667,138.9,
23527,64.2833333333,60.8833333333,6
28418,56.4666666667,53.7333333333,60
28598,55.6,73.4833333333,50
28916,52.9333333333,54.75,81
36104,51.4788888889,95.5777777778,58
21802,71.9666666667,114.0833333333,54
28456,56.5166666667,64.65,4
24462,65.3,130.0,54
24661,64.0,130.3,54
25703,62.9166666667,152.4166666667,63
31534,50.4333333333,131.0166666667,77
30874,51.65,117.5666666667,11
32509,54.1166666667,159.9833333333,
28791,54.6333333333,72.4333333333,50
28044,59.6,60.5333333333,12
29418,56.3375,78.3597222222,49
23986,60.3736111111,93.0172222222,10
32215,50.6833333333,156.1333333333,
20967,70.1697222222,72.5136111111,69
29578,55.7166666667,93.7466666667,10
29771,54.5383333333,93.4427777778,10
24329,66.25,114.2833333333,54
25922,60.7166666667,155.8833333333,63
30862,51.8666666667,116.0333333333,11
29566,55.9361111111,92.2769444444,10
31442,51.9833333333,127.65,38
29756,54.5,89.9333333333,21
29498,56.35,98.3666666667,14
30692,54.0,123.9666666667,38
25648,63.2,167.85,74
29915,52.9666666667,78.65,1
31725,48.6166666667,133.8333333333,72
23179,68.1,87.7666666667,10
32477,54.3,155.9166666667,74
31478,52.2666666667,133.9833333333,77
24557,64.2833333333,126.45,54
30537,54.0333333333,108.2666666667,14
